implementationheuristic,totalinstances,solvedinstances,averageplanlength,averagetotaltime,averageehctime,averagebfstime,Score,weightedscore
Baseline,20,20,35.050,17.104,17.104,0.000,21.768,1.088
Goal serialisation,20,20,35.500,0.711,0.636,0.000,26.292,1.315
Random Heuristic,20,20,36.200,0.723,0.635,0.000,25.812,1.291
RPG Ascending Heuristic,20,20,36.100,1.101,0.609,0.000,25.416,1.271
RPG Descending Heuristic,20,20,35.700,1.088,0.588,0.000,25.411,1.271
