implementationheuristic,totalinstances,solvedinstances,averageplanlength,averagetotaltime,averageehctime,averagebfstime,Score,weightedscore
Baseline,20,20,40.900,7.305,7.305,0.000,21.269,1.063
Goal serialisation,20,20,39.600,0.826,0.620,0.000,23.893,1.195
Random Heuristic,20,20,40.250,0.786,0.611,0.000,24.013,1.201
RPG Ascending Heuristic,20,20,41.800,1.149,0.614,0.000,22.779,1.139
RPG Descending Heuristic,20,20,39.600,1.089,0.547,0.000,22.907,1.145
