problem,planLength,totalTime,ehcTime,bfsTime
28-2,133,2.1179062,1.4668179999999997,0.0
28-3,127,2.1117492,1.4416438999999999,0.0
28-4,129,2.3502227,1.6085078000000002,0.0
29-0,126,2.372003,1.6750439,0.0
29-1,131,2.4470842,1.719238,0.0
29-2,133,2.5747926,1.8679584,0.0
29-3,129,2.3275613,1.6468072999999999,0.0
29-4,130,2.3628526,1.6794934999999998,0.0
30-0,135,3.025111,2.2558855999999996,0.0
30-1,135,2.686522,1.8719148,0.0
30-2,132,2.5977463,1.8293720999999996,0.0
30-3,134,2.6493307,1.8895107999999998,0.0
30-4,134,2.5995539,1.8537841000000002,0.0
