problem,planLength,totalTime,ehcTime,bfsTime
28-2,133,1.7943484,1.5846535000000004,0.0
28-3,127,1.8229018,1.5785172,0.0
28-4,129,1.7919958,1.6152045,0.0
29-0,126,1.9657145,1.781924,0.0
29-1,131,1.9414166,1.7422205999999996,0.0
29-2,133,1.9772661,1.7259000999999998,0.0
29-3,129,1.9580401,1.7542798000000002,0.0
29-4,130,1.9838405,1.7470913000000001,0.0
30-0,135,2.2008257,2.0041979,0.0
30-1,135,2.3246579,2.0860425,0.0
30-2,132,2.254058,2.0420823999999995,0.0
30-3,134,2.2918398,2.0484052999999998,0.0
30-4,134,2.3014009,2.0285032000000003,0.0
